scenario,level,file_path,original_syntax_valid,original_error,fixed_syntax_valid,fixed_error,solvable,solve_time,plan_length,fixes_applied,processing_time
scenario_0001,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/strategic.pddl,True,,True,,False,0.6810894012451172,0,3,0.6831200122833252
scenario_0001,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/tactical.pddl,True,,True,,False,0.6691248416900635,0,0,0.6783945560455322
scenario_0001,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/technical.pddl,True,,True,,False,0.5869078636169434,0,0,0.5896389484405518
scenario_0002,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/strategic.pddl,True,,True,,False,0.6895136833190918,0,0,0.6909031867980957
scenario_0002,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/tactical.pddl,True,,True,,False,0.6641526222229004,0,2,0.6657819747924805
scenario_0002,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/technical.pddl,True,,True,,False,0.6133825778961182,0,17,0.6149325370788574
scenario_0003,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/strategic.pddl,True,,True,,False,0.6096036434173584,0,0,0.6109905242919922
scenario_0003,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/tactical.pddl,True,,True,,False,0.6271796226501465,0,0,0.6286442279815674
scenario_0003,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/technical.pddl,True,,True,,False,0.6257200241088867,0,2,0.6272404193878174
scenario_0004,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/strategic.pddl,True,,True,,False,0.7305221557617188,0,0,0.7330100536346436
scenario_0004,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/tactical.pddl,True,,True,,False,0.5758969783782959,0,5,0.5786657333374023
scenario_0004,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/technical.pddl,True,,True,,False,0.6354076862335205,0,0,0.637099027633667
scenario_0005,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/strategic.pddl,True,,True,,False,0.6448197364807129,0,0,0.6461987495422363
scenario_0005,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/tactical.pddl,True,,True,,False,0.6326217651367188,0,0,0.6345884799957275
scenario_0005,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/technical.pddl,True,,True,,False,0.6662993431091309,0,9,0.6677796840667725
scenario_0006,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/strategic.pddl,True,,True,,False,0.6043405532836914,0,0,0.6063814163208008
scenario_0006,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/tactical.pddl,True,,True,,False,0.5781068801879883,0,0,0.579827070236206
scenario_0006,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/technical.pddl,True,,True,,False,0.7108685970306396,0,1,0.7123682498931885
scenario_0007,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/strategic.pddl,True,,True,,False,0.5838303565979004,0,1,0.5865755081176758
scenario_0007,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/tactical.pddl,True,,True,,False,0.6617310047149658,0,0,0.6633098125457764
scenario_0007,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/technical.pddl,True,,True,,False,0.6306700706481934,0,13,0.632319450378418
scenario_0008,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/strategic.pddl,True,,True,,False,0.6564722061157227,0,0,0.6589100360870361
scenario_0008,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/tactical.pddl,True,,True,,False,0.646399736404419,0,0,0.6480586528778076
scenario_0008,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/technical.pddl,False,Missing (:domain ...),False,Missing (:domain ...),False,0.575965404510498,0,0,0.5792090892791748
scenario_0009,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/strategic.pddl,True,,True,,False,0.6424939632415771,0,0,0.6439328193664551
scenario_0009,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/tactical.pddl,True,,True,,False,0.7044589519500732,0,0,0.7092185020446777
scenario_0009,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/technical.pddl,True,,True,,False,0.68318772315979,0,13,0.6853048801422119
scenario_0010,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/strategic.pddl,True,,True,,False,0.6364610195159912,0,0,0.6386466026306152
scenario_0010,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/tactical.pddl,True,,True,,False,0.6319191455841064,0,0,0.6334683895111084
scenario_0010,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/technical.pddl,False,Missing (:domain ...),False,Missing (:domain ...),False,0.6083106994628906,0,0,0.6097738742828369
