scenario,level,file_path,original_syntax_valid,original_error,fixed_syntax_valid,fixed_error,solvable,solve_time,plan_length,fixes_applied,processing_time
scenario_0001,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,0.0022139549255371094,0,6,0.003452301025390625
scenario_0001,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.621246337890625e-05,8,13,0.002134561538696289
scenario_0001,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0001/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.6689300537109375e-05,5,53,0.0025436878204345703
scenario_0002,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,9.775161743164062e-06,0,8,0.0012862682342529297
scenario_0002,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,1.1205673217773438e-05,0,21,0.0022525787353515625
scenario_0002,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0002/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.58306884765625e-06,0,51,0.0013267993927001953
scenario_0003,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,9.775161743164062e-06,0,7,0.0015549659729003906
scenario_0003,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.1682510375976562e-05,8,18,0.001310586929321289
scenario_0003,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0003/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.0728836059570312e-05,6,60,0.0012867450714111328
scenario_0004,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.821487426757812e-06,0,9,0.001247406005859375
scenario_0004,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.821487426757812e-06,0,22,0.0012395381927490234
scenario_0004,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0004/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.0013580322265625e-05,3,49,0.0012500286102294922
scenario_0005,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.58306884765625e-06,0,6,0.001272439956665039
scenario_0005,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,6.9141387939453125e-06,0,49,0.0012006759643554688
scenario_0005,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0005/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.1682510375976562e-05,5,53,0.00122833251953125
scenario_0006,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.0728836059570312e-05,3,7,0.0012478828430175781
scenario_0006,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,9.298324584960938e-06,7,32,0.0014324188232421875
scenario_0006,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0006/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,9.775161743164062e-06,3,64,0.0024611949920654297
scenario_0007,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,3.552436828613281e-05,0,9,0.005526065826416016
scenario_0007,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.33514404296875e-05,7,63,0.0015900135040283203
scenario_0007,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0007/technical.pddl,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xd4 in position 2879: invalid continuation byte,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xd4 in position 2879: invalid continuation byte,False,0.0,0,0,0.0021681785583496094
scenario_0008,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.4543533325195312e-05,5,8,0.0015614032745361328
scenario_0008,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,9.5367431640625e-06,0,44,0.0012531280517578125
scenario_0008,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0008/technical.pddl,False,Missing (:domain ...) declaration,False,,True,1.1444091796875e-05,5,0,0.0013179779052734375
scenario_0009,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,7.3909759521484375e-06,0,5,0.001188039779663086
scenario_0009,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.821487426757812e-06,0,44,0.0012290477752685547
scenario_0009,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0009/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.1920928955078125e-05,3,73,0.0012295246124267578
scenario_0010,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.106231689453125e-06,0,9,0.0014772415161132812
scenario_0010,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,7.867813110351562e-06,0,38,0.0013697147369384766
scenario_0010,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0010/technical.pddl,False,Missing (:domain ...) declaration,False,,True,8.58306884765625e-06,8,0,0.0014407634735107422
scenario_0011,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0011/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,7.62939453125e-06,0,6,0.0011682510375976562
scenario_0011,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0011/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,9.775161743164062e-06,6,33,0.001188516616821289
scenario_0011,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0011/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.821487426757812e-06,0,72,0.0013034343719482422
scenario_0012,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0012/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,1.5020370483398438e-05,0,9,0.0012252330780029297
scenario_0012,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0012/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.239776611328125e-05,8,43,0.0012402534484863281
scenario_0012,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0012/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.0013580322265625e-05,7,65,0.0012073516845703125
scenario_0013,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0013/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,9.298324584960938e-06,3,9,0.0012285709381103516
scenario_0013,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0013/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,8.821487426757812e-06,6,41,0.001218557357788086
scenario_0013,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0013/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,6.67572021484375e-06,0,94,0.0011811256408691406
scenario_0014,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0014/strategic.pddl,True,,False,,True,1.2874603271484375e-05,6,0,0.0024487972259521484
scenario_0014,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0014/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.58306884765625e-06,0,34,0.0012311935424804688
scenario_0014,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0014/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,7.867813110351562e-06,0,48,0.0012178421020507812
scenario_0015,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0015/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,1.0251998901367188e-05,0,7,0.001201629638671875
scenario_0015,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0015/tactical.pddl,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc7 in position 1588: invalid continuation byte,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc7 in position 1588: invalid continuation byte,False,0.0,0,0,0.0012481212615966797
scenario_0015,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0015/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,8.106231689453125e-06,0,63,0.0016629695892333984
scenario_0016,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0016/strategic.pddl,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc7 in position 792: invalid continuation byte,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc7 in position 792: invalid continuation byte,False,0.0,0,0,0.0013494491577148438
scenario_0016,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0016/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.5974044799804688e-05,4,41,0.007925033569335938
scenario_0016,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0016/technical.pddl,False,Missing (:domain ...) declaration,False,,False,1.049041748046875e-05,0,0,0.0012862682342529297
scenario_0017,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0017/strategic.pddl,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc7 in position 710: invalid continuation byte,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc7 in position 710: invalid continuation byte,False,0.0,0,0,0.0025773048400878906
scenario_0017,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0017/tactical.pddl,False,Missing (:domain ...) declaration,False,,True,1.1444091796875e-05,3,0,0.0013172626495361328
scenario_0017,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0017/technical.pddl,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc6 in position 1806: invalid continuation byte,False,UTF-8 decode error: 'utf-8' codec can't decode byte 0xc6 in position 1806: invalid continuation byte,False,0.0,0,0,0.0013341903686523438
scenario_0018,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0018/strategic.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,9.298324584960938e-06,0,6,0.0016143321990966797
scenario_0018,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0018/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,False,9.775161743164062e-06,0,45,0.0013110637664794922
scenario_0018,technical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0018/technical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.0251998901367188e-05,5,70,0.001180410385131836
scenario_0019,strategic,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0019/strategic.pddl,True,,False,,False,8.821487426757812e-06,0,0,0.0012857913970947266
scenario_0019,tactical,/mnt/d/qy/作战规划/论文/多层次行动指南/pddl/datasets/pddl/problems/scenario_0019/tactical.pddl,False,Contains bracket syntax [predicate] instead of (predicate),True,,True,1.1205673217773438e-05,4,26,0.004703044891357422
